SDG,SDG_Name,Division,DivisionCode,Zila,ZilaCode,Country,Estimate,Unit,Indicator,Source,Year,Definition,Note
3,Good Health and Wellbeing,Barisal,10,Jhalokati,42,Bangladesh,21,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Jhalokati,42,Bangladesh,67,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Jhalokati,42,Bangladesh,59,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Jhalokati,42,Bangladesh,21,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Barisal,10,Jhalokati,42,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Jhalokati,42,Bangladesh,64,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Patuakhali,78,Bangladesh,28,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Patuakhali,78,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Patuakhali,78,Bangladesh,77,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Patuakhali,78,Bangladesh,78,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Patuakhali,78,Bangladesh,42,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Barisal,10,Patuakhali,78,Bangladesh,73,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Pirojpur,79,Bangladesh,78,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Barisal,10,Pirojpur,79,Bangladesh,65,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Pirojpur,79,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Pirojpur,79,Bangladesh,71,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Pirojpur,79,Bangladesh,67,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Barisal,10,Pirojpur,79,Bangladesh,70,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Bandarban,3,Bangladesh,11,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Bandarban,3,Bangladesh,75,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Bandarban,3,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Bandarban,3,Bangladesh,43,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Bandarban,3,Bangladesh,44,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Bandarban,3,Bangladesh,69,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Brahamanbaria,12,Bangladesh,56,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Brahamanbaria,12,Bangladesh,3,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Brahamanbaria,12,Bangladesh,99,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Brahamanbaria,12,Bangladesh,18,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Brahamanbaria,12,Bangladesh,23,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Brahamanbaria,12,Bangladesh,48,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chandpur,13,Bangladesh,68,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chandpur,13,Bangladesh,35,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Chandpur,13,Bangladesh,26,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chandpur,13,Bangladesh,62,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chandpur,13,Bangladesh,3,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chandpur,13,Bangladesh,95,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chittagong,15,Bangladesh,67,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chittagong,15,Bangladesh,12,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chittagong,15,Bangladesh,15,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Chittagong,15,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chittagong,15,Bangladesh,60,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Chittagong,15,Bangladesh,59,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Comilla,19,Bangladesh,20,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Comilla,19,Bangladesh,72,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Comilla,19,Bangladesh,46,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Comilla,19,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Comilla,19,Bangladesh,9,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Comilla,19,Bangladesh,66,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Cox's Bazar,22,Bangladesh,47,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Cox's Bazar,22,Bangladesh,43,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Cox's Bazar,22,Bangladesh,91,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Cox's Bazar,22,Bangladesh,31,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Cox's Bazar,22,Bangladesh,53,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Cox's Bazar,22,Bangladesh,3,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Feni,30,Bangladesh,60,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Feni,30,Bangladesh,75,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Feni,30,Bangladesh,0,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Feni,30,Bangladesh,0,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Feni,30,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Feni,30,Bangladesh,43,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Khagrachhari,46,Bangladesh,83,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Khagrachhari,46,Bangladesh,31,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Khagrachhari,46,Bangladesh,70,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Khagrachhari,46,Bangladesh,39,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Khagrachhari,46,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Khagrachhari,46,Bangladesh,31,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Lakshmipur,51,Bangladesh,69,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Lakshmipur,51,Bangladesh,53,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Lakshmipur,51,Bangladesh,38,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Lakshmipur,51,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Lakshmipur,51,Bangladesh,77,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Lakshmipur,51,Bangladesh,28,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Noakhali,75,Bangladesh,100,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Noakhali,75,Bangladesh,63,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Noakhali,75,Bangladesh,3,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Noakhali,75,Bangladesh,38,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Noakhali,75,Bangladesh,29,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Noakhali,75,Bangladesh,55,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Rangamati,84,Bangladesh,88,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Rangamati,84,Bangladesh,51,Number per 1000 women,General fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The number of live births per year per 1000 women of child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Rangamati,84,Bangladesh,2,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Rangamati,84,Bangladesh,88,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
3,Good Health and Wellbeing,Chittagong,20,Rangamati,84,Bangladesh,43,Percent,Ever used a method to avoid pregnancy (Percent),MICS-WM,2019,Percentage of women 15-64 who ever used a method to avoid pregnancy,SDG 3 Related
3,Good Health and Wellbeing,Chittagong,20,Rangamati,84,Bangladesh,71,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Dhaka,26,Bangladesh,24,Number per 1000 live births,Infant mortality rate (Number per 1000 live births),BBS Vital Statistics 2017,2017,"Number of infant deaths per 1000 live births, where infants are defined as those who are younger than one year old. ",SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Dhaka,26,Bangladesh,1,Number per 1000 women,Total fertility rate (Number per 1000 women),BBS Vital Statistics 2017,2017,The total fertility rate is the number of children a woman would bear throughout her lifetime at the rates specified by the schedule of age-specific fertility rates for a particular year.  Obtained by summing the age-specific fertility rates for each year for each age group (usually five-year age groups) of women in child-bearing age. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Dhaka,26,Bangladesh,60,Percent,Contraceptive prevalence rate (Percent),BBS Vital Statistics 2017,2017,Percentage of currently married women of child-bearing age who report using a family planning method at the time of the inquiry. ,SDG 3 Related
3,Good Health and Wellbeing,Dhaka,30,Dhaka,26,Bangladesh,28,Number per 1000 live births,Under five mortality (Number per 1000 live births),BBS Vital Statistics 2017,2017,Number of deaths to children under five years old per 1000 live births.,SDG 3.2.1
